matchID,week,teamOne,teamTwo,projOne,projTwo,projWin,actualOne,actualTwo,actualWin
1,1,YOLO,DOUG,112.8,101.8,,99.2,66.5,
2,1,CAEM,RICK,127.4,99.5,,123.5,122.3,
3,1,RAIN,B,112.5,116.4,,136.3,129.9,
4,1,HILL,WEND,119.1,99.6,,96,115.3,
5,1,JONE,WALT,98.8,128.2,,84.5,113.4,
6,1,WAGN,DES,129.1,111.2,,92.3,163,
7,1,ONG,BALA,122.3,115.6,,65.9,164.9,
8,2,YOLO,JONE,102,87,,97.2,90,
9,2,WAGN,CAEM,113,120,,83.4,113.3,
10,2,WALT,RAIN,101,134,,122.5,85.9,
11,2,RICK,ONG,107,123,,75.4,116.6,
12,2,DES,HILL,119,112,,102.7,171.6,
13,2,B,BALA,97,101,,157.9,146.6,
14,2,DOUG,WEND,96,111,,79.1,80.5,
15,3,YOLO,RAIN,116,102,,71.3,102.3,
16,3,HILL,WAGN,116,131,,53.2,124.5,
17,3,WEND,JONE,99,82,,53.1,147,
18,3,DOUG,DES,109,117,,89.2,89,
19,3,ONG,CAEM,125,117,,111.5,129,
20,3,BALA,WALT,109,122,,90.3,101.2,
21,3,B,RICK,111,98,,71.7,99.5,
22,4,YOLO,WEND,100.5,123.7,,85.3,80.5,
23,4,RAIN,BALA,92,122.3,,145.2,137.8,
24,4,WAGN,DOUG,137,100.7,,115.2,63.9,
25,4,JONE,DES,106.3,108.1,,90.1,117.1,
26,4,HILL,ONG,103.1,105.7,,98.6,101.9,
27,4,CAEM,B,103.1,92.4,,111.4,118.1,
28,4,WALT,RICK,130.9,82.4,,141.9,63,
29,5,DES,YOLO,114,101,,82,88.2,
30,5,B,ONG,110,127,,110.1,107.4,
31,5,RICK,RAIN,70,101,,102.9,120.7,
32,5,JONE,WAGN,97,85,,74.1,120.1,
33,5,WEND,BALA,94,118,,128.6,149.3,
34,5,DOUG,HILL,101,93.7,,91.8,126.1,
35,5,WALT,CAEM,115,85,,80.1,76,
36,6,YOLO,WAGN,110,111,,86.6,72.8,
37,6,BALA,RICK,103,104,,105.3,148,
38,6,ONG,WALT,133,112,,86.7,75.4,
39,6,RAIN,CAEM,130,126,,87.2,96.3,
40,6,DOUG,B,92,111,,94.8,118.1,
41,6,WEND,DES,102,103,,64,102.6,
42,6,HILL,JONE,85,100,,121.9,80.4,
43,7,YOLO,HILL,112.5,127.8,,88.9,134.6,
44,7,ONG,RAIN,103.1,118.2,,90.3,89.3,
45,7,BALA,CAEM,148.5,99.9,,104.6,69.3,
46,7,WAGN,WEND,100.9,101.2,,86.2,79.9,
47,7,JONE,DOUG,108.7,125.6,,96.5,87.1,
48,7,B,WALT,113.8,109.5,,80.7,109.5,
49,7,RICK,DES,78.5,108.2,,100.7,118.7,
50,8,YOLO,ONG,93.7,112.2,,86.6,107.6,
51,8,HILL,BALA,92.3,138.9,,81.4,59.2,
52,8,RAIN,WAGN,114.7,120.2,,116.9,97.7,
53,8,CAEM,JONE,113.8,117.6,,100.5,81.8,
54,8,WEND,B,65.8,106.4,,98.1,71.2,
55,8,DOUG,RICK,119,68.8,,88.1,86.8,
56,8,WALT,DES,99.4,95.5,,120.4,85.4,
57,9,YOLO,BALA,116.6,118.9,,112.8,119.3,
58,9,HILL,B,77.3,98.4,,70,111.9,
59,9,ONG,WAGN,119.6,118,,76.1,141.8,
60,9,RAIN,JONE,112.1,116.7,,126.3,75,
61,9,CAEM,DES,89,99.9,,141.3,125.4,
62,9,WEND,RICK,66.7,76,,105.8,55.4,
63,9,DOUG,WALT,127,94.6,,115.5,102.4,
64,10,YOLO,B,98.7,108.3,,73.6,105.3,
65,10,HILL,RICK,118.6,84.1,,104.5,105.2,
66,10,ONG,JONE,95.3,93.3,,62.4,55,
67,10,RAIN,DES,121.1,128.2,,112.7,100.4,
68,10,BALA,WAGN,127.6,142.4,,133.9,76.7,
69,10,CAEM,DOUG,112,131.4,,64.3,91.7,
70,10,WEND,WALT,69.7,119.2,,74.1,108.7,
71,11,YOLO,RICK,97.3,66.5,,119.7,80.3,
72,11,HILL,WALT,84.3,117.5,,103.5,109.8,
73,11,ONG,DES,104.5,117.2,,113.7,112.5,
74,11,RAIN,DOUG,97.8,104,,76.3,111.5,
75,11,BALA,JONE,114.8,96.5,,110.6,85.3,
76,11,CAEM,WEND,115.7,69.6,,83.9,117.9,
77,11,WAGN,B,107.4,100.8,,141.6,96.7,
78,12,YOLO,WALT,99.7,111.5,,77.1,85.4,
79,12,HILL,CAEM,95.9,112,,80.8,114.6,
80,12,ONG,DOUG,110,110.2,,101.6,120,
81,12,RAIN,WEND,107.7,53.8,,80.3,53.5,
82,12,BALA,DES,134.7,86,,36.7,52.1,
83,12,WAGN,RICK,126.1,107.8,,116.8,84,
84,12,JONE,B,124,112.6,,101.7,126.4,
85,13,YOLO,RAIN,97.1,111.9,,77.3,53.6,
86,13,HILL,ONG,105.1,125.1,,108.9,96.7,
87,13,BALA,WEND,132.2,77.1,,150.9,83.7,
88,13,CAEM,WAGN,121.9,123.8,,105.8,110.6,
89,13,JONE,WALT,123.4,112.5,,162,127.2,
90,13,DOUG,B,112.8,109.6,,115.3,99.5,
91,13,RICK,DES,97.7,122.4,,97,93.3,
